No.,도메인,세부 도메인,의도 (Intention),문장
2268,차량 제어,공조 제어,에어컨 켜기,에어컨 전원 온.
2269,차량 제어,운전 제어,일자 추월,속도 높여서 앞 차보다 먼저 가.
2270,차선 제어,차선 변경,왼쪽으로 차선 변경,한산한 왼쪽 차선으로 이동 후 주행해.
2271,차량 제어,도어 제어,조수석 차문 열기,초수석 차문 잠금 해제.
2272,차량 제어,공조 제어,히터 켜기,히터로 실내 좀 훈훈하게 만들어.
2273,차량 제어,창문 제어,조수석 창문 열기,조수석 창문 약간만 내려 줘.
2274,차량 제어,공조 제어,히터 제어,온풍기 바람 살살 나오게 해.
2275,차선 제어,차선 변경,왼쪽으로 차선 변경,왼쪽 차선에 아무도 없어 그쪽으로 가자.
2276,차량 제어,좌석 제어,좌석 온도 제어,온열 시트 켜 줘.
2277,차량 제어,공조 제어,히터 제어,히터 리어 모드로 시작해 줘.
2278,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 속도 알 수 있어?
2279,차량 제어,속도 제어,주행 속도 세팅,도로 평균보다 오 올려 줘.
2280,비상 제어,보험사 연락,자동 보험사 연락,긴급 보험사 연결 설정할게.
2281,차량 제어,공조 제어,에어컨 제어,에어컨 조금 약하게 틀어 줘.
2282,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 주행 기록 날짜별로 알려 줘.
2283,차량 제어,운전 제어,일자 따라 가기,반드시 앞 차를 잡아야 해.
2284,차선 제어,차선 변경,왼쪽으로 차선 변경,차선 변경을 원해 왼쪽으로 가 줘.
2285,비상 제어,보험사 연락,자동 보험사 연락,위험할 때 보험사에 전화 자동으로 해 줘.
2286,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상 정지 모드 켠 채로 운전 해.
2287,차량 제어,운전 제어,일자 따라 가기,앞 차가 가는 곳으로 뒤 줘아 가.
2288,차량 제어,긴급 차량,에스오에스차량 양보,먼저 구급차를 가게 해 줘.
2289,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 속도 몇 나오는지 한 번 보자.
2290,차량 제어,창문 제어,조수석 창문 닫기,조주석 창문 꽉 닫아 줘.
2291,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 가능한지 점검해.
2292,차량 제어,속도 제어,주행 속도 세팅,도로 상황에 맞게 속도 제어해서 달려 줘.
2293,차량 제어,운전 제어,일자 추월,앞에 있는 차 보다 빨리 가야 겠어.
2294,비상 제어,차량 비상 정지,비상 정지 모드 켜기,차량 앞 급정거 시 비상 정지 모드 발동 해.
2295,차량 제어,운전 제어,일자 따라 가기,앞 차 따라기가 온.
2296,차량 제어,좌석 제어,좌석 통풍 끄기,의자 바람 이제 꺼라.
2297,비상 제어,차량 비상 정지,비상 정지 모드 끄기,비상 정지 모드를 끔으로 설정해 줘.
2298,차량 제어,공조 제어,에어컨 끄기,혹시 에어컨 꺼 줄 수 있을까?
2299,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행할 수 있는 조건인지 확인해.
2300,주행 정보,속도 확인,자율 주행 속도 확인,현재 자율 주행으로 시속이 얼마인지 조사해 줘.
2301,차량 제어,공조 제어,히터 제어,히터 온도 이십육 도로 해 놔.
2302,차량 제어,속도 제어,주행 속도 세팅,도심 운전 안전 속도로 세팅해 주세요.
2303,차선 제어,갓길 이동 정차,갓길 이동 명령,우리 차 갓길로 진입시켜.
2304,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행했던 기록 조회.
2305,차량 제어,운전 제어,일자 추월,약속 시간 늦어서 앞 차들 추월해서 달려 줘.
2306,차량 제어,창문 제어,조수석 창문 닫기,자꾸 벌레가 들어와 조수석 창문 닫아.
2307,차량 제어,운전 제어,일자 따라 가기,앞 차랑 똑같이 주행해 가능해?
2308,차량 제어,공조 제어,히터 제어,히터 조금 뜨거우니 온도 내려 줘.
2309,비상 제어,보험사 연락,자동 보험사 연락,보험회사에 바로 통보가게 해놔.
2310,주행 정보,주행 기록,자율 주행 주행 기록,자동 운전 기록 켜 줘.
2311,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 속도가 현재 얼마나 돼?
2312,차선 제어,차선 변경,차선 변경,더 여유로운 차선으로 변경하자.
2313,차량 제어,운전 제어,일자 따라 가기,앞 차 뒤에 붙으면 된다니깐.
2314,차량 제어,공조 제어,히터 끄기,히터 전원 꺼 줄래?
2315,차량 제어,운전 제어,일자 추월,내 앞의 차들 다 추월해 줘.
2316,차선 제어,갓길 이동 정차,갓길 이동 명령,차를 세워 줘 갓길로.
2317,차량 제어,운전 제어,일자 따라 가기,앞 차 쫓아갈 수 있게 자율 주행 진행해.
2318,비상 제어,보험사 연락,자동 보험사 연락,최대한 빨리 자동으로 보험사 직원에게 전화 부탁 해.
2319,차량 제어,공조 제어,히터 제어,히터 파워 줄여 줘.
2320,차량 제어,공조 제어,에어컨 제어,지금 온도보다 에어컨 온도 좀 낮춰 줘.
2321,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 속도 측정해 주겠니?
2322,차량 제어,공조 제어,히터 켜기,주행할 때 히터 틀고 주행할게.
2323,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행으로 얼마나 움직였어?
2324,차량 제어,공조 제어,에어컨 켜기,지금 에어컨 미리 켜 줘.
2325,차량 제어,공조 제어,에어컨 제어,이십육 도보다 이 도 높게 설정해 줘.
2326,차량 제어,도어 제어,조수석 차문 닫기,조수석 차문 덜 닫혔는데 제대로 닫아.
2327,차량 제어,공조 제어,히터 제어,바람이 상하로 번갈아 움직이게 해 줘.
2328,차량 제어,자율 주행 시작,자율 주행 모드 시작,주행 모드 자율로 켜 줘.
2329,차량 제어,긴급 차량,에스오에스차량 양보,경찰차 급해보여 비켜 주자.
2330,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길을 향해 차 운행해 줘.
2331,차선 제어,차선 변경,왼쪽으로 차선 변경,차선 이동 왼쪽으로.
2332,비상 제어,보험사 연락,자동 보험사 연락,자동으로 내 보험회사에 알려 줘.
2333,차량 제어,속도 제어,주행 속도 세팅,도로 제한 속도 넘지말고 운전해.
2334,차량 제어,긴급 차량,에스오에스차량 양보,뒤의 경찰차가 갈 길을 열어주자.
2335,차량 제어,운전 제어,일자 추월,앞 차 빨리 추월해 버려.
2336,차량 제어,운전 제어,일자 따라 가기,앞 차 정도는 따라갈 수 있지?
2337,차선 제어,갓길 이동 정차,갓길 이동 명령,옆에 갓길에 차 좀 붙여봐 봐.
2338,차선 제어,차선 변경,차선 변경,앞 차 답답하니까 차선 변경해 줘.
2339,차량 제어,운전 제어,일자 추월,앞 차보다 빨리 가야겠으니 추월해 줘.
2340,차량 제어,도어 제어,전체 차문 닫기,지금 내 차 문을 다 닫아 줘.
2341,차량 제어,도어 제어,조수석 차문 열기,조수석 문이 제일 천천히 열리게 설정해 줘.
2342,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행한 최대 거리가 몇 킬로미터인지 체크해 줘.
2343,차량 제어,긴급 차량,에스오에스차량 양보,소방차 오니깐 길가로 붙여 줘.
2344,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 가능 여부가 궁금해.
2345,차량 제어,긴급 차량,에스오에스차량 양보,에스오에스 차량 오니 속도 내지 말고 기다려 줘.
2346,비상 제어,차량 비상 정지,비상 정지 모드 켜기,길이 위험하니까 비상 정지 기능을 실행 시켜 줘.
2347,차량 제어,좌석 제어,좌석 온도 내리기,좌석 온도 좀 낮춰라.
2348,차량 제어,자율 주행 시작,자율 주행 모드 종료,자율 주행 모드 꺼볼래.
2349,주행 정보,주행 기록,자율 주행 주행 기록,주행 기록계에 쌓인 누적 데이터 볼 수 있을까?
2350,차량 제어,자율 주행 시작,자율 주행 모드 시작,자율 주행 모드가 필요한 시점이야.
2351,비상 제어,보험사 연락,자동 보험사 연락,지금 차 엔진 소리가 이상 해. 보험사랑 지금 연락 할래.
2352,차량 제어,자율 주행 시작,자율 주행 모드 시작,다음 신호등까지 자율 주행해 줘.
2353,차량 제어,긴급 차량,에스오에스차량 양보,뒤에 구급차가 오고있어 옆으로 비켜 줘.
2354,차선 제어,차선 변경,차선 변경,일 차로로 차선 바꿔서 주행해라.
2355,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행으로 달린 거리 산출해 주겠니?
2356,차량 제어,운전 제어,일자 따라 가기,앞 차만 따라 가면 목적지가 나올 거야.
2357,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행한 기록 가져와 줘.
2358,차량 제어,창문 제어,조수석 창문 열기,조수석 창문 열어 버려.
2359,주행 정보,속도 확인,자율 주행 속도 확인,현재 자율 주행 몇 킬로미터로 달리는 중이야?
2360,차량 제어,도어 제어,전체 차문 닫기,오분 후 문 다 닫아 줘.
2361,차량 제어,좌석 제어,좌석 통풍 켜기,너무 더워 좌석 시원하게 해.
2362,차선 제어,차선 변경,왼쪽으로 차선 변경,차선 변경 왼쪽으로 할래.
2363,비상 제어,보험사 연락,자동 보험사 연락,자동으로 보험회사랑 컨택해 줘.
2364,차량 제어,긴급 차량,에스오에스차량 양보,구급차 보내고 자율 주행 시행.
2365,차량 제어,공조 제어,에어컨 제어,에어컨 바람 차 내부에서만 틀어 줘.
2366,차량 제어,창문 제어,조수석 창문 닫기,주행 중에는 조수석 창 닫아 줘.
2367,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 기록에 뭐 있는지 확인할래.
2368,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 가능한지 체크하자.
2369,주행 정보,주행 기록,자율 주행 주행 기록,얼마 동안 자율 주행으로 달린 건지 알려 줘.
2370,차량 제어,좌석 제어,좌석 온도 올리기,시트 따뜻하게 해 줄래?
2371,차량 제어,도어 제어,뒷자리 차문 열기,뒷자리 차문 미리 열어놔.
2372,차량 제어,운전 제어,일자 추월,앞에 있는 차보다 먼저 달릴께.
2373,비상 제어,보험사 연락,자동 보험사 연락,현대보험 은주주임에게 전화 발신.
2374,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길로 가게 차선을 변경해 줘.
2375,차량 제어,도어 제어,조수석 차문 닫기,조수석 쪽 문 잠겨 있어?
2376,비상 제어,보험사 연락,자동 보험사 연락,타이어에 문제 생기면 보험사에 다이렉트로 연락해 줘.
2377,차선 제어,차선 변경,차선 변경,자율 주행 모드에서는 가장 여유 있는 차선을 찾아서 변경하도록 해.
2378,차량 제어,공조 제어,히터 제어,히터 바람이 얼굴에 안 오게 해 줘.
2379,차량 제어,공조 제어,히터 제어,난방 바람 세기를 한 단계 줄여 줘.
2380,주행 정보,주행 기록,자율 주행 주행 기록,오늘 자율 주행 모드 켰어?
2381,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 모드 몇 킬로미터로 맞춰져 있어?
2382,차량 제어,긴급 차량,에스오에스차량 양보,사고가 났나봐 앰뷸런스 먼저 보내 줘야겠어.
2383,차량 제어,속도 제어,주행 속도 세팅,과속 단속 카메라 주행 속도에 맞춰 줘.
2384,차량 제어,운전 제어,일자 추월,앞 차보다 빨리 가고 싶어 추월해.
2385,차선 제어,차선 변경,왼쪽으로 차선 변경,왼쪽 차선에서 몰아.
2386,차량 제어,운전 제어,일자 추월,속도 높여 앞 차 추월해.
2387,차량 제어,속도 제어,주행 속도 세팅,최고 속도가 팔십 킬로미터 넘지 않게 해.
2388,차량 제어,도어 제어,뒷자리 차문 열기,정차 삼분 후 뒤자리 차문 자동 열림 설정해.
2389,차량 제어,도어 제어,조수석 차문 닫기,조수석 차 문 니가 닫아 줘.
2390,비상 제어,보험사 연락,자동 보험사 연락,십초 이상 반응이 없으면 보험사에 연락과 동시에 구급차를 불러 줘.
2391,차량 제어,좌석 제어,좌석 온도 내리기,좌석 온도 한 단계 낮춰 줘.
2392,주행 정보,주행 기록,자율 주행 주행 기록,마지막으로 자율 주행 사용한 기록 알려 줄래?
2393,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,지금 자율 주행 모드 어때?
2394,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,이제 자동 주행으로 달리는 게 가능한지 알려 줘.
2395,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드 하지마.
2396,차량 제어,공조 제어,에어컨 제어,에어컨을 현재 온도보다 시원하게 해.
2397,차량 제어,도어 제어,뒷자리 차문 닫기,뒷자리 차 문 잠금 모드 켜 줘.
2398,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에 잠깐 정차해야겠어.
2399,차량 제어,긴급 차량,에스오에스차량 양보,앰뷸런스 지나갈 수 있게 길 열어 줘.
2400,차량 제어,긴급 차량,에스오에스차량 양보,길을 비켜 줘야 구급 차량이 빨리 갈 수 있어.
2401,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에서 대기.
2402,주행 정보,주행 기록,자율 주행 주행 기록,자동 운전 언제 사용해?
2403,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길로 바꿔서 잠시 세울래.
2404,차선 제어,차선 유지,차선 유지 모드 끄기,차선 유지 모드 오프 실시!
2405,주행 정보,주행 기록,자율 주행 주행 기록,하루 평균 자율 주행 시간은 얼마야?
2406,차량 제어,좌석 제어,좌석 통풍 켜기,좌석에 바람이 안 통해 통풍 기능 켜 줘.
2407,차량 제어,공조 제어,에어컨 제어,에어컨 온도 이 도 더 내려 줘.
2408,차량 제어,좌석 제어,좌석 통풍 켜기,앞 시트만 통풍 켜 주겠니?
2409,비상 제어,보험사 연락,자동 보험사 연락,문제시 보험회사랑 자동으로 연결 해야 해.
2410,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 속도 지금 체크해 줘.
2411,비상 제어,보험사 연락,자동 보험사 연락,비상시 보험사 연락처로 발신 설정 해.
2412,차량 제어,좌석 제어,좌석 통풍 제어,시트 통풍 파워 모드로 실행!
2413,비상 제어,차량 비상 정지,비상 정지 모드 끄기,여기서부터 비상 정지 모드 꺼줄 래?
2414,비상 제어,보험사 연락,자동 보험사 연락,보험회사에 자동으로 전화 연결하고 어떻게 사고가 났는지 설명해 줘.
2415,차량 제어,공조 제어,히터 제어,히터 온도가 너무 낮아 높게 올려 줘.
2416,차량 제어,공조 제어,에어컨 제어,희망 온도 이십육 도로 해서 에어컨 틀어.
2417,비상 제어,보험사 연락,자동 보험사 연락,비상시에는 자동으로 보험사에 연락해 줘.
2418,차선 제어,차선 유지,차선 유지 모드 켜기,계속 이 차선 유지해서 운전해.
2419,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 기능 지금 쓸 수 있을까?
2420,차량 제어,좌석 제어,좌석 통풍 켜기,시트 온도가 너무 높아서 그런데 통풍 좀 켜 줘.
2421,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 속도 변화 보여 줘.
2422,차량 제어,운전 제어,일자 따라 가기,앞 차가 정차하면 따라서 정차해.
2423,차량 제어,도어 제어,전체 차문 열기,짐 실어야 하니 전체 차 문 열어 줄래?
2424,차량 제어,좌석 제어,좌석 통풍 켜기,시트에 바람 켜 줘.
2425,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길로 잠시 빠져 줄래?
2426,차량 제어,도어 제어,뒷자리 차문 닫기,에어컨 틀면 뒷자리 문 닫아.
2427,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 속도 지금 어느 정도야?
2428,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상시에 차 바로 멈춰 줘.
2429,차량 제어,운전 제어,일자 추월,앞에 차 따라잡기 가능해?
2430,차량 제어,좌석 제어,좌석 통풍 제어,뒷자리 통풍 단계 하나 올려 줄래?
2431,차량 제어,도어 제어,조수석 차문 열기,조수석쪽 문 열어.
2432,차량 제어,도어 제어,뒷자리 차문 닫기,뒷자리 문 절대 안 열리게 설정해.
2433,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 요청해도 괜찮아?
2434,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 가능성 여부 체크할게.
2435,차량 제어,도어 제어,전체 차문 닫기,열려 있는 거 다 닫아 주겠니?
2436,차선 제어,차선 변경,왼쪽으로 차선 변경,왼쪽 두 차선으로 변경해 줘.
2437,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행했던 날짜 알려 줘.
2438,차량 제어,창문 제어,전체 창문 닫기,미세 먼지 많으니까 전체 창문 올려.
2439,비상 제어,차량 비상 정지,비상 정지 모드 켜기,태풍이 오니 깐 비상 정지 시작해 줘.
2440,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 여부 확인 요망.
2441,차선 제어,차선 유지,차선 유지 모드 끄기,차선 유지 모드 사용 안 할래.
2442,차선 제어,갓길 이동 정차,갓길 이동 명령,잠시 갓길에 멈춰 봐.
2443,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행으로 달린 총 거리가 몇 킬로미터인지 알려 줘.
2444,차량 제어,도어 제어,전체 차문 열기,닫혀있는 차문을 모두 열자.
2445,차선 제어,갓길 이동 정차,갓길 이동 명령,도로 한가운데니까 갓길로 이동해 줘.
2446,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드 설정 제거 부탁해.
2447,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행이 가능한지 컨펌하고 이야기해 줘.
2448,차량 제어,창문 제어,시동석 창문 닫기,터널 들어가니까 시동석 창문 올려.
2449,주행 정보,주행 기록,자율 주행 주행 기록,일주일 평균 자율 주행 시간 알려 줘.
2450,차선 제어,차선 변경,오른쪽으로 차선 변경,차선 이동 오른쪽으로 진행해.
2451,차량 제어,운전 제어,일자 따라 가기,저기 있는 앞 차 뒤꽁무니 쫓아.
2452,주행 정보,속도 확인,자율 주행 속도 확인,현재 자율 주행 속도 좀 재주겠니?
2453,차량 제어,공조 제어,에어컨 켜기,에어컨 빨리 돌려.
2454,차량 제어,좌석 제어,좌석 통풍 켜기,시트 내장 선풍기 작동시켜 봐.
2455,차량 제어,운전 제어,일자 따라 가기,앞에 차 가는 길로 함께 주행하도록 하자.
2456,차선 제어,차선 변경,오른쪽으로 차선 변경,오른쪽 차선으로 이동하는 걸 도와 줘.
2457,차량 제어,공조 제어,히터 제어,너무 추워 실내 온도를 높여 줘.
2458,차량 제어,좌석 제어,좌석 온도 제어,전체 좌석 이십육 도로 따뜻하게 만들어 줘.
2459,차량 제어,긴급 차량,에스오에스차량 양보,구급차 통과하게 차 빼 줘.
2460,차량 제어,공조 제어,에어컨 제어,차 안 냉방해 줘.
2461,차량 제어,속도 제어,주행 속도 세팅,일반 주행 속도 칠십으로 저장해.
2462,차량 제어,좌석 제어,좌석 통풍 끄기,뒷좌석만 통풍기 꺼 주라.
2463,차량 제어,긴급 차량,에스오에스차량 양보,앰뷸런스에 길 양보!
2464,비상 제어,차량 비상 정지,비상 정지 모드 끄기,비상 정지 풀어.
2465,차선 제어,갓길 이동 정차,갓길 이동 명령,막다른 길이야 갓길에서 길 찾고 가자.
2466,차량 제어,운전 제어,일자 추월,속도 내서 앞 차 추월해.
2467,차량 제어,도어 제어,뒷자리 차문 닫기,뒷자리 차문 잠금 상태 유지하세요.
2468,차량 제어,좌석 제어,좌석 온도 제어,좌석 온도가 지금처럼 웃돌게 해.
2469,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 모드 설정한 요일 알려 줘.
2470,주행 정보,주행 기록,자율 주행 주행 기록,최근 일주일 자율 주행 킬로미터수 읽어 줘.
2471,차량 제어,도어 제어,전체 차문 닫기,시동키면 모든 문 잠겨지도록 해 주세요.
2472,차량 제어,창문 제어,조수석 창문 열기,환기 되도록 조수석 창문 조금만 내려.
2473,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 가능 여부 말해 줘.
2474,차량 제어,운전 제어,일자 따라 가기,앞 차 주행 경로 따라 가!
2475,비상 제어,보험사 연락,자동 보험사 연락,비상시에 자동으로 보험사에 연락해 줘.
2476,차선 제어,차선 변경,왼쪽으로 차선 변경,십 초만 있다가 차선 왼쪽으로 바꿔 줘.
2477,차량 제어,긴급 차량,에스오에스차량 양보,긴급 후송 중인 차량 무조건 양보해 줘.
2478,차량 제어,좌석 제어,좌석 통풍 제어,전체 자리 통풍 중간 단계에 맞춰.
2479,비상 제어,차량 비상 정지,비상 정지 모드 끄기,시끄러우니 비상 정지 모드 꺼 줘.
2480,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 기록 그래프로 보여 줘.
2481,차량 제어,긴급 차량,에스오에스차량 양보,차선 변경해서 응급 차량 길 터 줘.
2482,차량 제어,공조 제어,에어컨 제어,풍향이 상하로 움직이게 해 줘.
2483,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,지금 자율 주행되나요?
2484,차량 제어,긴급 차량,에스오에스차량 양보,에스오에스 차량이 뒤에 있으니 길을 내어주자.
2485,차량 제어,좌석 제어,좌석 온도 올리기,사람들 앉아 있는 의자 따뜻하게 해 줘.
2486,차량 제어,자율 주행 시작,자율 주행 모드 종료,자율 주행 모드는 이제 꺼두자.
2487,주행 정보,속도 확인,자율 주행 속도 확인,지금 자율 주행 속도 몇 킬로미터야?
2488,차량 제어,공조 제어,에어컨 제어,이십육 도로 에어컨 온도 유지해 줘.
2489,차선 제어,차선 변경,오른쪽으로 차선 변경,오른쪽으로 차로 한 개 바꿔.
2490,차선 제어,차선 유지,차선 유지 모드 끄기,차선 유지 모드 오프 유지해.
2491,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상 정지 모드를 켬으로 설정 해.
2492,차량 제어,운전 제어,일자 따라 가기,지금 저기 앞에 있는 차 따라서 주행 부탁해.
2493,차량 제어,좌석 제어,좌석 온도 올리기,좌석 온도 올려라.
2494,차량 제어,긴급 차량,에스오에스차량 양보,구급차 오는 소리 나니깐 길가로 붙자.
2495,차량 제어,도어 제어,전체 차문 열기,경로 도착하면 차 문 열어 줘.
2496,비상 제어,보험사 연락,자동 보험사 연락,이상 감지 시 스스로 보험사에 전화 걸어 줘.
2497,차량 제어,자율 주행 시작,자율 주행 모드 종료,자율 주행 모드를 오프로.
2498,차량 제어,긴급 차량,에스오에스차량 양보,경찰차 먼저 앞으로 자나가게 해.
2499,차선 제어,차선 변경,왼쪽으로 차선 변경,좌회전하게 맨 안쪽 차선으로 변경해 줘.
2500,차선 제어,갓길 이동 정차,갓길 이동 명령,이제 갓길에서 잠시 휴식해 보자.
2501,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 가능한지 차량 상태 체크해 줘.
2502,주행 정보,주행 기록,자율 주행 주행 기록,이번 달 이 일 자율 주행 사용 시간 알아봐.
2503,차량 제어,긴급 차량,에스오에스차량 양보,에스오에스 차량의 종류가 뭔지 알려 줘.
2504,차선 제어,차선 변경,왼쪽으로 차선 변경,맨 왼쪽 차선으로 가자.
2505,차량 제어,운전 제어,일자 추월,우리 앞 차 따라잡게 빨리가 줘.
2506,비상 제어,보험사 연락,자동 보험사 연락,보험사의 도움이 필요해.
2507,차량 제어,도어 제어,조수석 차문 닫기,조수석 차문 자동으로 잠그게 해 줘.
2508,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 모드를 쓸 수 있는지 확인해 줘.
2509,차량 제어,운전 제어,일자 따라 가기,앞 차에 적당히 붙어서 가.
2510,차량 제어,도어 제어,조수석 차문 열기,조수석 오픈 부탁해.
2511,차량 제어,공조 제어,에어컨 제어,에어컨 온도 제일 시원하게 켜 줘.
2512,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 모드 켜려고 하는데 지금 가능해?
2513,차량 제어,도어 제어,전체 차문 열기,짐 많이 넣게 전체 차 문 열어 놔.
2514,차선 제어,차선 변경,왼쪽으로 차선 변경,차선은 이제 왼쪽 차선 이용하면 돼.
2515,비상 제어,보험사 연락,자동 보험사 연락,사고 나면 보험사 직원 전화로 자동 연결해 줘.
2516,차량 제어,좌석 제어,좌석 통풍 켜기,좌석 바람 통하게 해 줘.
2517,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길 찾아서 정차해 줘.
2518,차선 제어,갓길 이동 정차,갓길 이동 명령,터널 앞 갓길은 위험하니까 조금 더 가다가 갓길로 이동해 줘.
2519,비상 제어,보험사 연락,자동 보험사 연락,사고 시 자동으로 보험회사랑 상의해야 해.
2520,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에 잠깐 있자.
2521,차량 제어,공조 제어,히터 켜기,히터로 여기를 더 덥게 해 주겠니?
2522,차량 제어,창문 제어,조수석 창문 닫기,운전석 옆 자리 창문 올려 줄래?
2523,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 시속 육십 이하로 기록된 것만 보여 줘.
2524,비상 제어,보험사 연락,자동 보험사 연락,사고 나면 바로 보험사에 알려 줘.
2525,주행 정보,주행 기록,자율 주행 주행 기록,최근 자율 주행 운전 기록 말해 줘.
2526,차량 제어,공조 제어,히터 제어,히터 발 쪽으로만 켜 줘.
2527,차량 제어,창문 제어,전체 창문 닫기,하차할 거니 전체 창문 닫아 줘.
2528,차량 제어,운전 제어,일자 추월,앞 차 제끼고 빨리 가 줘.
2529,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,이 도로는 자율 주행되는 도로야?
2530,차선 제어,갓길 이동 정차,갓길 이동 명령,노견으로 이동해.
2531,차량 제어,좌석 제어,좌석 온도 제어,좌석 온도 제어 실행해.
2532,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길로 이동 후에 정차해 줘.
2533,차량 제어,속도 제어,주행 속도 세팅,신호등에 녹색불이 켜지면 시속 삼십 킬로미터로 출발해.
2534,차량 제어,속도 제어,주행 속도 세팅,시속 팔십 킬로미터 속도로 가기 원합니다.
2535,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 시에 보통 시속 몇으로 주행하는지 궁금해.
2536,차량 제어,도어 제어,조수석 차문 열기,사람 내리니 조수석 차 문 열어.
2537,차량 제어,운전 제어,일자 추월,앞 차 추월할 수 있겠니?
2538,차량 제어,도어 제어,조수석 차문 닫기,조수석 차문은 닫고 기다리자.
2539,차량 제어,긴급 차량,에스오에스차량 양보,앞에 사고 나서 사람들이 다쳤대 구급차 먼저 양보해 줘.
2540,차량 제어,도어 제어,뒷자리 차문 열기,뒤에 오른쪽 문 열어 줘.
2541,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행하려는데 체크 플리즈.
2542,차량 제어,도어 제어,뒷자리 차문 열기,문 열 손이 없어 뒷 문 좀 열어봐.
2543,차량 제어,창문 제어,조수석 창문 열기,조수석 창문 살짝만 내려 봐.
2544,차량 제어,속도 제어,주행 속도 세팅,도로 정규 속도로 주행해 줘.
2545,차량 제어,도어 제어,뒷자리 차문 닫기,뒷자리 문을 닫거라.
2546,차량 제어,공조 제어,히터 켜기,실내 온도를 높이기 위해서 히터를 틀어 줘.
2547,차량 제어,창문 제어,조수석 창문 닫기,조수석 창문 반 정도 올려주라.
2548,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 가능할지 봐 줘.
2549,비상 제어,보험사 연락,자동 보험사 연락,누가 내 차 긁고 갔는데 이거 보험사한테 연락해 줘.
2550,차선 제어,차선 변경,차선 변경,이 차선으로 변경해서 직진해 줘.
2551,차량 제어,운전 제어,일자 추월,앞에 차 너무 천천히 가는데 추월 좀 해 줘.
2552,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 최근 이용 내역 확인.
2553,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드는 키고 가는 게 좋을 거 같아요.
2554,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 모드 언제 사용했어?
2555,차량 제어,공조 제어,에어컨 제어,바람 방향이 좀 더 위를 향했으면 좋겠어.
